T: 71493 ID: 31B, Data: D1 07 00 00 00 00 00 00 
T: 71493 ID: 101, Data: 29 04 7D 02 82 16 00 00 
T: 71493 ID: 32A, Data: B4 09 00 00 48 02 00 00 
T: 71493 ID: 101, Data: B4 06 7D 02 82 20 00 00 
T: 71493 ID: 324, Data: 16 08 00 00 00 00 00 12 
T: 71493 ID: 3BE, Data: A5 28 E7 01 42 80 00 80 
T: 71493 ID: 395, Data: 04 05 40 02 FE FE 75 2C 
T: 71493 ID: 30B, Data: 50 0A 00 00 08 00 00 00 
T: 71493 ID: 5AA, Data: 00 00 00 00 00 00 00 00 
T: 71493 ID: 101, Data: 5F 09 7D 01 82 16 00 00 
T: 71493 ID: 101, Data: 07 0A 7D 01 82 18 00 00 
T: 71493 ID: 661, Data: 16 00 00 00 00 00 00 00 
T: 71493 ID: 520, Data: 93 0E 00 0C 00 AA 02 00 
T: 71493 ID: 30C, Data: A3 FA 3F 00 60 30 00 50 
T: 71493 ID: 395, Data: 04 06 40 02 FE FE 75 2C 
T: 71493 ID: 65D, Data: 17 3F 2B 12 00 00 24 80 
T: 71493 ID: 643, Data: 00 02 0B 00 00 00 00 00 
T: 71493 ID: 5E9, Data: 00 64 01 00 00 00 00 00 
T: 71493 ID: 101, Data: 24 0F 7D 02 82 15 00 00 
T: 71493 ID: 5CC, Data: 33 14 01 
T: 71493 ID: 32A, Data: A7 0E 00 00 48 02 00 00 
T: 71493 ID: 395, Data: 04 07 40 02 FE FE 75 2C 
T: 71493 ID: 30B, Data: 50 0E 00 00 08 00 00 00 
T: 71493 ID: 12B, Data: 4C 16 80 10 00 00 00 00 
T: 71493 ID: 101, Data: 68 04 7D 02 82 19 00 00 
T: 71493 ID: 395, Data: 04 08 40 02 FE FE 75 2C 
T: 71493 ID: 394, Data: 36 13 00 1A 00 00 00 00 
T: 71493 ID: 3E5, Data: 2F 1A 00 00 00 00 00 00 
T: 71493 ID: 12B, Data: B4 19 80 10 00 00 00 00 
T: 71493 ID: 31B, Data: 74 0F 00 00 00 00 00 00 
T: 71493 ID: 101, Data: FC 08 7D 02 82 1E 00 00 
T: 71493 ID: 32A, Data: E5 01 00 00 48 02 00 00 
T: 71493 ID: 12B, Data: A4 1A 80 10 00 00 00 00 
T: 71493 ID: 5CC, Data: 3C A6 00 
T: 71493 ID: 30B, Data: 50 01 00 00 08 00 00 00 
T: 71493 ID: 5A0, Data: 0D 74 81 20 78 
T: 71493 ID: 324, Data: 05 0F 00 00 00 00 00 12 
T: 71493 ID: 3C0, Data: 0A 0A 03 00 
T: 71493 ID: 101, Data: 01 0E 7D 02 82 1A 00 00 
T: 71493 ID: 40, Data: 9F 04 00 00 C3 00 00 00 
T: 71493 ID: 5CC, Data: 4A 0F 03 05 02 
T: 71493 ID: 5CC, Data: 80 07 34 5D 00 01 01 00 
T: 71493 ID: 12B, Data: 75 1F 80 10 00 00 00 00 
T: 71493 ID: 30C, Data: 5E F1 3F 00 60 30 00 50 
T: 71493 ID: 5CC, Data: 90 08 4A 10 00 00 7B FF 
T: 71493 ID: 3C0, Data: BF 0B 03 00 
T: 71493 ID: 6B0, Data: E9 01 68 02 7C 59 
T: 71493 ID: 5CC, Data: 44 51 12 38 19 
T: 71493 ID: 5CC, Data: 80 08 38 C3 38 03 E4 00 
T: 71493 ID: 3CF, Data: 00 00 00 00 84 00 00 01 
T: 71493 ID: 101, Data: 44 03 7D 02 82 1C 00 00 
T: 71493 ID: 6B4, Data: 01 4C 45 39 4E 50 58 47 
T: 71493 ID: 5CC, Data: 4C 4E 2D 1F 01 01 
T: 71493 ID: 31B, Data: BC 04 00 00 00 00 00 00 
T: 71493 ID: 5CC, Data: 4A 12 00 00 00 
T: 71493 ID: 324, Data: 8F 02 00 00 00 00 00 12 
T: 71493 ID: 3BE, Data: 1A 2E E7 01 42 80 00 80 
T: 71493 ID: 5CC, Data: 90 08 4A 50 38 03 FF C0 
T: 71493 ID: 5CC, Data: A0 05 3A 31 80 00 00 FF 
T: 71493 ID: 5CC, Data: 90 08 3C 57 05 00 00 80 
T: 71493 ID: 5CC, Data: 4A 13 00 
T: 71493 ID: 64A, Data: 00 00 00 00 
T: 71493 ID: 5CC, Data: C0 FF 
T: 71493 ID: 5F0, Data: FD 64 64 00 00 01 00 00 
T: 71493 ID: 101, Data: 85 07 7D 02 82 16 00 00 
T: 71493 ID: 5CC, Data: 80 05 3A 3C 80 00 00 FF 
T: 71493 ID: 101, Data: 72 08 7D 02 82 17 00 00 
T: 71493 ID: 661, Data: 1C 00 00 00 00 00 00 00 
T: 71493 ID: 5CC, Data: D0 00 00 FF FF 
T: 71493 ID: 5CC, Data: 80 04 1C 98 11 00 00 08 
T: 71493 ID: 5CC, Data: 80 03 3C 9E 00 00 FF 
T: 71493 ID: 5CC, Data: 4A 15 FF 
T: 71493 ID: 5CC, Data: 80 05 3C A0 80 00 00 FF 
T: 71493 ID: 5CC, Data: C1 00 00 09 31 30 37 2E 
T: 71493 ID: 5CC, Data: C3 00 00 00 01 00 00 00 
T: 71493 ID: 5CC, Data: B0 0C 4C 99 F0 00 00 00 
T: 71493 ID: 101, Data: 47 0C 7D 02 82 13 00 00 
T: 71493 ID: 5CC, Data: C0 00 
T: 71493 ID: 31E, Data: DA E9 3F 00 00 00 00 00 
T: 71493 ID: 5CC, Data: D0 9F DF FF C0 
T: 71493 ID: 5CC, Data: F0 00 00 00 00 00 00 00 
T: 71493 ID: 394, Data: B5 16 00 1A 00 00 00 00 
T: 71493 ID: 5CC, Data: E1 00 00 00 00 00 00 
T: 71493 ID: 5CC, Data: 4C 9C 10 
T: 71493 ID: 485, Data: 0A 10 D0 11 B9 4C 21 5B 
T: 71493 ID: 3D5, Data: B0 4E 40 04 00 00 00 00 
T: 71493 ID: 101, Data: B7 01 7D 02 82 14 00 00 
T: 71493 ID: 551, Data: C1 22 64 83 02 00 00 00 
T: 71493 ID: 101, Data: CE 03 7D 02 82 18 00 00 
T: 71493 ID: 324, Data: 54 07 00 00 00 00 00 12 
T: 71493 ID: 3BE, Data: DA 21 E7 01 42 80 00 80 
T: 71493 ID: 5FF, Data: 10 0B C0 01 3D DD 15 E1 
T: 71493 ID: 5FF, Data: 30 0F 05 AA AA AA AA AA 
T: 71493 ID: 31E, Data: 6B EC 3F 00 00 00 00 00 
T: 71493 ID: 5CC, Data: C0 FF 00 00 00 
T: 71493 ID: 3D1, Data: 01 00 00 00 8C 00 00 00 
T: 71493 ID: 101, Data: C0 07 7D 02 82 14 00 00 
T: 71493 ID: 31B, Data: FE 0C 00 00 00 00 00 00 
T: 71493 ID: 30C, Data: 0F F9 3F 00 60 30 00 50 
T: 71493 ID: 5CC, Data: C0 00 00 00 00 00 
T: 71493 ID: 6B0, Data: E6 01 68 02 7C 58 
T: 71493 ID: 5CC, Data: 4C 69 00 
T: 71493 ID: 5CC, Data: 4A 33 00 FF FF 
T: 71493 ID: 5FC, Data: 20 47 00 00 1E 0F 00 00 
T: 71493 ID: 101, Data: 59 0D 7D 02 82 14 00 00 
T: 71493 ID: 5CC, Data: 4C AD 00 00 00 00 00 00 
T: 71493 ID: 5CC, Data: 4A 3B 00 00 00 
T: 71493 ID: 116, Data: C4 0E 00 00 00 00 00 FF 
T: 71493 ID: 5FF, Data: 10 0B 80 02 8F CB 1B A9 
T: 71493 ID: 324, Data: BA 0B 00 00 00 00 00 12 
T: 71493 ID: 101, Data: 18 00 7D 02 82 1F 00 00 
T: 71493 ID: 5AA, Data: 00 00 00 00 00 00 00 FE 
T: 71493 ID: 5CC, Data: 32 02 03 00 08 00 05 01 
T: 71493 ID: 5CC, Data: D1 37 00 00 00 5E 01 00 
T: 71493 ID: 324, Data: A9 0C 00 00 00 00 00 12 
T: 71493 ID: 101, Data: 83 03 7E 02 82 12 00 00 
T: 71493 ID: 5CC, Data: 36 D2 01 01 
T: 71493 ID: 5CC, Data: C0 00 00 00 00 
T: 71493 ID: 101, Data: 33 05 7D 02 82 1C 00 00 
T: 71493 ID: 661, Data: 12 00 00 00 00 00 00 00 
T: 71493 ID: 101, Data: 4E 07 7D 02 82 1D 00 00 
T: 71493 ID: 30C, Data: 1C FE 3F 00 60 30 00 50 
T: 71493 ID: 3D6, Data: 03 00 00 00 00 00 00 00 
T: 71493 ID: 5CC, Data: 80 09 4A 55 00 00 00 00 
T: 71493 ID: 5FF, Data: 10 0B C0 02 33 91 26 ED 
T: 71493 ID: 12B, Data: 44 1C 80 10 00 00 00 00 
T: 71493 ID: 40, Data: 57 06 00 00 C3 00 00 00 
T: 71493 ID: 3C7, Data: 01 00 27 00 00 40 A3 00 
T: 71493 ID: 30B, Data: 50 06 00 00 08 00 00 00 
T: 71493 ID: 12B, Data: 5F 1E 80 10 00 00 00 00 
T: 71493 ID: 101, Data: 9E 00 7D 01 82 18 00 00 
T: 71493 ID: 31B, Data: 31 06 00 00 00 00 00 00 
T: 71493 ID: 5CC, Data: A0 04 4A 53 00 00 00 00 
T: 71493 ID: 324, Data: 23 01 00 00 00 00 00 12 
T: 71493 ID: 5CC, Data: 80 07 34 5E 00 01 01 00 
T: 71493 ID: 116, Data: 2A 02 00 00 00 00 00 FF 
T: 71493 ID: 30B, Data: 50 08 00 00 08 00 00 00 
T: 71493 ID: 6C0, Data: 10 00 04 01 19 00 00 00 
T: 71493 ID: 5CC, Data: 44 51 12 38 1A 
T: 71493 ID: 5CC, Data: 38 C4 0A 
T: 71493 ID: 30B, Data: 50 09 00 00 08 00 00 00 
T: 71493 ID: 101, Data: 63 06 7D 01 82 1C 00 00 
T: 71493 ID: 30C, Data: 96 F3 3F 00 60 30 00 50 
T: 71493 ID: 485, Data: 0A 10 D0 11 BA 4C 21 5B 
T: 71493 ID: 101, Data: CC 0A 7D 01 82 13 00 00 
T: 71493 ID: 5CC, Data: A0 05 3C 60 80 00 00 FF 
T: 71493 ID: 5CC, Data: E0 FF 
T: 71493 ID: 391, Data: 00 6D 2A 00 00 27 00 02 
T: 71493 ID: 116, Data: 0C 0C 00 00 00 00 00 FF 
T: 71493 ID: 3E5, Data: 5A 18 00 00 00 00 00 00 
T: 71493 ID: 101, Data: 8B 0E 7D 02 82 1E 00 00 
T: 71493 ID: 5E9, Data: 00 62 01 00 00 00 00 00 
T: 71493 ID: 5CC, Data: E0 FF FF FF FF FF FF FF 
T: 71493 ID: 101, Data: D4 0F 7D 02 82 16 00 00 
T: 71493 ID: 40, Data: 06 0E 00 00 C3 00 00 00 
T: 71493 ID: 324, Data: 30 06 00 00 00 00 00 12 
T: 71493 ID: 31E, Data: B7 EE 3F 00 00 00 00 00 
T: 71493 ID: 5CC, Data: 4A 2D 00 00 FF FF 
T: 71493 ID: 5CC, Data: 4A 58 21 00 10 FF 00 00 
T: 71493 ID: 101, Data: C9 04 7D 02 82 21 00 00 
T: 71493 ID: 661, Data: 18 00 00 00 00 00 00 00 
T: 71493 ID: 40, Data: 20 00 00 00 C3 00 00 00 
T: 71493 ID: 31B, Data: B0 0E 00 00 00 00 00 00 
T: 71493 ID: 30C, Data: 6B F8 3F 00 60 30 00 50 
T: 71493 ID: 647, Data: AE FD FF 7F 00 00 00 C2 
T: 71493 ID: 30B, Data: 50 00 00 00 08 00 00 00 
T: 71493 ID: FD, Data: 9F D7 1F 80 00 00 00 00 
T: 71493 ID: 101, Data: 0A 09 7D 01 82 20 00 00 
T: 71493 ID: 101, Data: 88 0C 7D 02 82 15 00 00 
T: 71493 ID: 184, Data: 40 01 00 00 00 00 06 00 
T: 71493 ID: 5FC, Data: 20 0E 00 00 00 00 00 00 
T: 71493 ID: 31E, Data: FF E3 3F 00 00 00 00 00 
T: 71493 ID: 12B, Data: F0 14 80 10 00 00 00 00 
T: 71493 ID: 3EB, Data: E0 00 00 FE 00 00 00 00 
T: 71493 ID: 101, Data: 47 01 7D 02 82 17 00 00 
T: 71493 ID: 31B, Data: A0 03 00 00 00 00 00 00 
T: 71493 ID: 101, Data: 9D 02 7E 02 82 15 00 00 
T: 71493 ID: 6C0, Data: 0E 00 04 02 01 08 0A 00 
T: 71493 ID: 5CC, Data: 34 0E 01 00 80 
T: 71493 ID: 31E, Data: 2D E5 3F 00 00 00 00 00 
T: 71493 ID: 101, Data: 64 04 7E 02 82 1C 00 00 
T: 71493 ID: 5CC, Data: 36 D5 01 
T: 71493 ID: 5E1, Data: 98 2A 00 60 FE 00 00 00 
